TC =  0
  63   26  -75 
 -14   14   15 
 -18   30   21 
  99  -37  105 
  62  -94   52 
 -27   -9   29 
  38  -45 -100 
 -42   75  105 
 -40  -34  -32 
-102  -55   50 
  30   41  -40 
  -5 -102   38 
 -94   58   11 
   8  -36   13 
  40   42   38 
 -54   -5  -20 
 -37  -74  -35 
 -16   38  127 
 -48   84   18 
 -92  -57  -27 
 -18    7   37 
 -93   -7 -105 
  24   16   45 
 -55  -76  -56 
  -1   11  107 
  48   44   29 
  31  -18   28 
 -31  -27  -36 
 -84  -12  -52 
  65   36   17 
 -28   50   -3 
 -66  -74   82 
   5  -15   68 
 -33  -18  -89 
  61   10  -99 
-110  -52   55 
  86   52  -29 
  30   23  -31 
  21  -48   22 
  26   81  -33 
  29   84  -13 
 -30  -28  -66 
  -2   15  -56 
   0    0    0 
  68  -69   51 
 -53  -30  121 
 -94  -82   89 
 -23   79   98 
 -33  -29    8 
  34   52   58 
 -30   18   84 
  49  -24   65 
   6   57   50 
 -81  -58  -86 
  85   31   70 
 -64  -96  -38 
  31  -43   14 
  97  -81   67 
  -5  -90  -12 
  92  -50   29 
 -35   93  -12 
  20  -97   12 
  62   21  -36 
 -27  -59   26 
 -63  115   37 
  81  -95  -25 
  49  -45   27 
 -81  -96  -69 
  -5   52  -95 
  87   40   35 
 -69    5   24 
  31  -35  -52 
  72  -28  -62 
 -55   42  -11 
 -34  -89   72 
 -48   14    7 
  83   34  -63 
 -39   68  -59 
 -51   35   12 
   6   40   48 
  -6   94  -18 
 -67  -74 -104 
  -9   54   31 
 -55   39  -32 
  -2  -68  -64 
  53  -14    8 
  29  -46  -19 
 -36   59  -28 
-109    0  -62 
 -46  -57   33 
  27  -68   -6 
  76   36  -39 
  55   -4  -46 
  28   74   38 
  50   11   30 
  88   54   53 
 -29   85   41 
  23  -96  -27 
  70  -44   34 
 -27   27   19 
 -23   48  -76 
 -63 -102   80 
 -57  -79   22 
 -77  124  -67 
  74 -127  -40 
 -40  -19  -17 
 -42  113   36 
 -61  -74   28 
 -39  -61  -18 
  62   26  -16 
 -51   59   51 
 127    4  108 
  52  -76   21 
  30   96  -47 
  17   17   54 
 -25   18   18 
  70  -90   22 
  67  -14 -114 
  70  -33    3 
  48   22    7 
  86  -29   43 
  -3  -19    1 
  16  -93   19 
 -44  -20   16 
 -75  -57  -56 
 -56   11  -32 
 -12   18  -14 
 -22   41   68 
 -41  -68  -75 
 108  111  114 
 -80  -44   24 
 -14   45  -63 
-110  -93   34 
  16   58   -2 
 -46   84    9 
  26  -12  -71 
 -74   53  -29 
  41  -44   28 
 -14   90  -53 
 -30   -9  -47 
  41   70   34 
  -7  -60  -65 
 -27  -33   23 
 -57   67  -47 
  24  -87   58 
 -94    1   11 
 -38  -46   20 
  29   46   10 
  60   32   72 
  68   64  -76 
   8   43  -36 
  60   93   -3 
   2   21   45 
 -65   -6   43 
   1  -17   67 
 -22 -106   -6 
 -60  -13  -16 
 -17   76  -24 
   7   68  -27 
  -3   17   32 
  94   91  -27 
  53   42   55 
 -49  -45   68 
 -72  -10   83 
 -38   30  -67 
 -12  -49  -89 
  36   71  -84 
  -7   85   23 
  35   96   91 
 -31    6   60 
 -47   62   73 
 -71   25    3 
 116   29   21 
 -89    1   -6 
 -27  -62   11 
 -37 -108  -58 
 -99    8  -76 
  43  -15   84 
  25  -36   35 
 -63   70  111 
 112  -83   86 
 -95  -19   57 
  40   66   38 
 -58  -43   31 
  21  111  -46 
  22   63   -1 
  40  -13   30 
 -27   17   64 
  50   22  -90 
  57  -20   30 
  10   28  -22 
  -5   79   43 
  26  -15  -69 
 -52   15   32 
   2  -19   71 
  74  -88  -65 
  -5   -3   69 
 -69   42  -68 
  79    9  -31 
 -15  -43  -17 
  56   50 -100 
  41   27   10 
 -41   46  -75 
 127  -56  -56 
  87  -49   11 
  13   14  -78 
 -51  -94   27 
